facility_id,program_type,facility_status,facility_name,city,zip_code,school_district_name,infant_capacity,toddler_capacity,preschool_capacity,school_age_capacity,children_capcity,total_capacity
43696,DCC,License,Duck Duck Goose Child Care Center,East Aurora,14052,East Aurora,16,12,39,30,0,97
853631,SACC,Registration,Little Scholars Early Development Center,Bronx,104567886,Bronx 9,0,0,0,34,0,34
845344,GFDC,License,"Sunny Happy Kids, Inc.",Brooklyn,11204,Brooklyn 20,0,0,0,4,12,16
36147,GFDC,License,Nana's Daycare,Rochester,146153640,Rochester,0,0,0,4,12,16
345760,GFDC,License,"Spicer, Ann",Brooklyn,11203,Brooklyn 18,0,0,0,4,12,16
462258,SACC,Pending Revocation,Inwood House,Bronx,10454,Bronx 7,0,0,0,183,0,183
380276,GFDC,License,Children Milestones Group Family Daycare,Bronx,10459,Bronx 12,0,0,0,4,12,16
822913,SACC,Registration,SCOPE Education Services,Lindenhurst,11757,Lindenhurst,0,0,0,71,0,71
812072,SACC,Registration,ULTIMATE ENRICHMENT,Bronx,10465,Bronx 8,0,0,0,95,0,95
848536,GFDC,License,"Torres, Sara",Rochester,14609,Rochester,0,0,0,4,12,16
875196,GFDC,License,Green Hive,Brooklyn,11211,Brooklyn 14,0,0,0,4,12,16
880366,GFDC,License,"Gonzalez Garcia, Lisbeth",New York,10033,Manhattan 6,0,0,0,4,12,16
103638,FDC,Registration,"Paul, Margaret",Spencerport,14559,Spencerport,0,0,0,2,6,8
625915,GFDC,License,Pickaboo DayCare Corp,New York,10034,Manhattan 6,0,0,0,4,12,16
875384,GFDC,License,Bonnie-Crest Daycare,New Rochelle,10804,New Rochelle,0,0,0,4,12,16
685441,GFDC,License,"Funtastic Tots Family Day Care, LLC",Elmont,11003,Elmont,0,0,0,4,12,16
